year,tif_number,property_tax,total_expenditures,transfers_in,transfers_out,surplus,end_balance,flags
1997,1,1194,34231,1743618,0,0,1797517,Beginning of year balance has no value|Total of other finances did not match anything. Guessing total by adding individual
1997,13,37570,1114656,1359557,0,0,0,Beginning of year balance has no value|End of year balance has no value|Revenues after expenditure checksum failed
1997,17,650,21,0,0,0,0,"Beginning of year balance has no value|End of year balance has no value|Revenue checksum fails|field ""interest"" had no value attached|Checksum failed"
1997,20,256051,10612,0,-1359557,0,0,End of year balance has no value|Total of other finances did not match anything. Guessing total by adding individual
1997,28,766169,579781,0,0,0,498415,Number 579781 was not attached to a field|Total expenditures did not match. Guessing total by adding individual
1997,36,957120,561386,0,0,0,3061033,"field ""debt_plus_bond_refund"" had no value attached|field ""transfers_out"" had no value attached|Sum of everything has no value|Total of other finances did not match anything. Guessing total by adding individual"
1997,37,0,1319995,24258006,0,0,0,Beginning of year balance has no value|End of year balance has no value|Total of other finances did not match anything. Guessing total by adding individual|Revenues after expenditure checksum failed
1997,39,200664,0,0,0,0,0,Could not find Revenues after Expenditures|Could not find any header after expenditures. Is the table blank?|Could not exit other finance section|Could not find any header after other finance section. Is the table blank?|Could not find anything after net position. Is the table blank|Could not find beginning of year balance|Could not find end of year balance|Expenditure checksum fails|Cannot complete expenditures object
1997,43,209863,15652,525000,0,0,727544,Beginning of year balance has no value|Total of other finances did not match anything. Guessing total by adding individual
1997,44,2348743,14124305,0,-1743617,0,6875457,"Other finances checksum failed|Revenue checksum fails|Expenditure checksum fails|Revenues after expenditure checksum failed|Checksum failed|field ""interest"" had no value attached|Checksum failed"
1997,45,1657797,12831118,0,-525000,0,0,End of year balance has no value|Other finances checksum failed|Summing everything checksum failed
1997,46,909,30,0,0,0,888,"Beginning of year balance has no value|Revenue checksum fails|field ""interest"" had no value attached|Checksum failed"
1998,1,29682,1642690,0,0,0,257168,"field ""transfers_in"" had no value attached|Total of other finances did not match anything. Guessing total by adding individual"
1998,2,94884,39241,0,0,0,95177,Revenue checksum fails|Checksum failed
1998,8,161159,0,0,0,0,0,Could not find Revenues after Expenditures|Could not find any header after expenditures. Is the table blank?|Could not exit other finance section|Could not find any header after other finance section. Is the table blank?|Could not find anything after net position. Is the table blank|Could not find beginning of year balance|Could not find end of year balance|Expenditure checksum fails|Cannot complete expenditures object
1998,9,234671,1701970,0,0,0,0,End of year balance has no value|Summing everything checksum failed
1998,14,36846876,0,0,0,0,0,Could not find Revenues after Expenditures|Could not find any header after expenditures. Is the table blank?|Could not exit other finance section|Could not find any header after other finance section. Is the table blank?|Could not find anything after net position. Is the table blank|Could not find beginning of year balance|Could not find end of year balance|Expenditure checksum fails|Cannot complete expenditures object
1999,7,0,0,0,0,0,0,Could not find Expenditures header|Could not find Revenues after Expenditures|Could not find any header after expenditures. Is the table blank?|Could not exit other finance section|Could not find any header after other finance section. Is the table blank?|Could not find anything after net position. Is the table blank|Could not find beginning of year balance|Could not find end of year balance|Revenue checksum fails|Expenditure checksum fails|Cannot complete revenues object|Cannot complete expenditures object
1999,27,428179,315547,0,0,0,674387,"field ""debt_plus_bond_refund"" had no value attached|Sum of everything has no value|Total of other finances did not match anything. Guessing total by adding individual|field ""miscellaneous"" had no value attached"
1999,28,886166,905940,0,0,0,1887422,"field ""debt_plus_bond_refund"" had no value attached|Total of other finances did not match anything. Guessing total by adding individual|field ""capital_projects"" had no value attached|field ""bond_issuance_costs"" had no value attached"
1999,29,209013,30329,0,0,0,654080,"field ""transfers_out"" had no value attached|Total of other finances did not match anything. Guessing total by adding individual"
1999,30,1441844,18543401,0,0,0,0,Beginning of year balance has no value|End of year balance has no value|Other finances checksum failed|Summing all rev/exp/other checksum failed
1999,31,6984676,726476,183333,0,0,0,"field ""debt_plus_bond_refund"" had no value attached|Sum of everything has no value|Beginning of year balance has no value|End of year balance has no value|Total of other finances did not match anything. Guessing total by adding individual|Expenditure checksum fails|Revenues after expenditure checksum failed|field ""interest"" had no value attached|Checksum failed"
1999,33,764525,2049,0,0,0,746816,Beginning of year balance has no value|Revenue checksum fails|Revenues after expenditure checksum failed|Checksum failed
